play_count,revenue_for_plays
7303,32
2854,12
4014,17
7828,34
113971,505
12475,55
583100,2587
28983,128
51245,227
80817,358
46754,207
67466,299
97836,434
359882,1596
4837128,21462
797558,3538
235001,1042
250548,1111
340157,1509
233200,1034
396649,1759
392560,1741
413535,1834
379442,1683
449478,1994
579697,2572
493333,2188
1051969,4667
782407,3471
732189,3248
871744,3867
745923,3309
1043489,4629
1308282,5804
1710795,7590
2272881,10084
1313095,5826
1912964,8487
2879902,12778
2058382,9133
1844854,8185
2318372,10286
3729466,16547
2080008,9228
6921142,30709
3084219,13684
2167875,9618
5461345,24231
8874104,39374
5021003,22278
67125981,297837
27220461,120777
18479207,81992
6684026,29657
13294039,58985
14073088,62442
15575977,69110
20961970,93008
19914870,88362
21654799,96082
29392960,130416
34177300,151644
26978277,119702
41397337,183679
57852754,256692
73460065,325942
163484786,725381
89294448,396199
83885639,372200
102143629,453211
148726299,659898
187496913,831923
219362984,973313
231014617,1025011
266840813,1183972
293757589,1303402
329576169,1462329
329074600,1460104
395193205,1753472
406425492,1803309
540179497,2396776
676704573,3002538
559809347,2483874
761977786,3380895
745548325,3307997
459278024,2037816
1095534543,4860886
969241493,4300524
720203213,3195541
1157313395,5134999
271935623,1206578
647309174,2872110
335062219,1486671
305711656,1356442
564492821,2504654
368047758,1633027
823660292,3654580
624093677,2769103
741554343,3290276
500002027,2218508
